Direction,Column,Set,Benchmark,Result
right,,Baseline,coffeescript,1.64
right,,Baseline,jshint,2.26
right,,Baseline,mean,1.87
right,,Baseline,babylon,1.94
right,,Baseline,espree,1.05
right,,Baseline,typescript,2.17
right,,Baseline,buble,1.26
right,,Baseline,terser,4.07
right,,Baseline,prettier,1.82
right,,Baseline,chai,3.17
right,,Baseline,prepack,1.84
right,,Baseline,babel,1.88
right,,Baseline,esprima,1.9
right,,Baseline,lebab,2.11
left,,Baseline,gc:V8.GC_MC_SWEEP,20277
left,,Baseline,gc:V8.GC_MC_EVACUATE,155262
right,,Baseline,uglify-js,1.2
right,,Baseline,acorn,1.43
right,,Baseline,babel-minify,2.3
right,,Baseline,postcss,1.24
right,,Baseline,source-map,2.48
right,,Patch,coffeescript,1.66
right,,Patch,jshint,2.18
right,,Patch,mean,1.85
right,,Patch,babylon,1.93
right,,Patch,espree,1.17
right,,Patch,typescript,1.99
right,,Patch,buble,1.15
right,,Patch,terser,4.01
right,,Patch,prettier,1.78
right,,Patch,chai,3.2
right,,Patch,prepack,1.72
right,,Patch,babel,1.86
right,,Patch,esprima,1.49
right,,Patch,lebab,2.1
left,,Patch,gc:V8.GC_MC_SWEEP,12943
left,,Patch,gc:V8.GC_MC_EVACUATE,114559
right,,Patch,uglify-js,1.15
right,,Patch,acorn,2.01
right,,Patch,babel-minify,2.29
right,,Patch,postcss,1.26
right,,Patch,source-map,2.21
right,,Baseline,coffeescript,1.68
right,,Baseline,jshint,2.12
right,,Baseline,mean,1.8
right,,Baseline,babylon,1.89
right,,Baseline,espree,1.01
right,,Baseline,typescript,2.11
right,,Baseline,buble,1.14
right,,Baseline,terser,3.94
right,,Baseline,prettier,1.84
right,,Baseline,chai,3.16
right,,Baseline,prepack,1.7
right,,Baseline,babel,1.88
right,,Baseline,esprima,1.79
right,,Baseline,lebab,2.01
left,,Baseline,gc:V8.GC_MC_SWEEP,20946
left,,Baseline,gc:V8.GC_MC_EVACUATE,114511
right,,Baseline,uglify-js,1.1
right,,Baseline,acorn,1.31
right,,Baseline,babel-minify,2.26
right,,Baseline,postcss,1.27
right,,Baseline,source-map,2.32
right,,Patch,coffeescript,1.71
right,,Patch,jshint,2.17
right,,Patch,mean,1.83
right,,Patch,babylon,1.92
right,,Patch,espree,1.02
right,,Patch,typescript,2.1
right,,Patch,buble,1.15
right,,Patch,terser,3.77
right,,Patch,prettier,1.67
right,,Patch,chai,3.17
right,,Patch,prepack,1.86
right,,Patch,babel,1.87
right,,Patch,esprima,1.77
right,,Patch,lebab,2.09
left,,Patch,gc:V8.GC_MC_SWEEP,14417
left,,Patch,gc:V8.GC_MC_EVACUATE,131863
right,,Patch,uglify-js,1.16
right,,Patch,acorn,1.44
right,,Patch,babel-minify,2.33
right,,Patch,postcss,1.23
right,,Patch,source-map,2.39
right,,Baseline,coffeescript,1.7
right,,Baseline,jshint,2.04
right,,Baseline,mean,1.82
right,,Baseline,babylon,1.91
right,,Baseline,espree,1.01
right,,Baseline,typescript,2.11
right,,Baseline,buble,1.16
right,,Baseline,terser,3.96
right,,Baseline,prettier,1.76
right,,Baseline,chai,3.12
right,,Baseline,prepack,1.71
right,,Baseline,babel,1.83
right,,Baseline,esprima,1.79
right,,Baseline,lebab,2.17
left,,Baseline,gc:V8.GC_MC_SWEEP,20737
left,,Baseline,gc:V8.GC_MC_EVACUATE,141129
right,,Baseline,uglify-js,1.16
right,,Baseline,acorn,1.44
right,,Baseline,babel-minify,2.29
right,,Baseline,postcss,1.26
right,,Baseline,source-map,2.37
right,,Patch,coffeescript,1.69
right,,Patch,jshint,2.15
right,,Patch,mean,1.83
right,,Patch,babylon,1.91
right,,Patch,espree,1.01
right,,Patch,typescript,2.15
right,,Patch,buble,1.2
right,,Patch,terser,3.98
right,,Patch,prettier,1.77
right,,Patch,chai,3.2
right,,Patch,prepack,1.69
right,,Patch,babel,1.9
right,,Patch,esprima,1.8
right,,Patch,lebab,2.18
left,,Patch,gc:V8.GC_MC_SWEEP,15944
left,,Patch,gc:V8.GC_MC_EVACUATE,150576
right,,Patch,uglify-js,1.12
right,,Patch,acorn,1.46
right,,Patch,babel-minify,2.32
right,,Patch,postcss,1.29
right,,Patch,source-map,2.14
right,,Baseline,coffeescript,1.58
right,,Baseline,jshint,2.08
right,,Baseline,mean,1.85
right,,Baseline,babylon,1.84
right,,Baseline,espree,1.21
right,,Baseline,typescript,2.14
right,,Baseline,buble,1.22
right,,Baseline,terser,3.96
right,,Baseline,prettier,1.77
right,,Baseline,chai,3.11
right,,Baseline,prepack,1.87
right,,Baseline,babel,1.77
right,,Baseline,esprima,1.49
right,,Baseline,lebab,2.08
left,,Baseline,gc:V8.GC_MC_SWEEP,18709
left,,Baseline,gc:V8.GC_MC_EVACUATE,118483
right,,Baseline,uglify-js,1.16
