Direction,Column,Set,Benchmark,Result
right,Cortex-A53,Baseline,coffeescript,0.8
right,Cortex-A53,Baseline,jshint,1.06
right,Cortex-A53,Baseline,mean,0.88
right,Cortex-A53,Baseline,babylon,0.99
right,Cortex-A53,Baseline,espree,0.53
right,Cortex-A53,Baseline,typescript,1.06
right,Cortex-A53,Baseline,buble,0.58
right,Cortex-A53,Baseline,terser,1.86
right,Cortex-A53,Baseline,prettier,0.81
right,Cortex-A53,Baseline,chai,1.43
right,Cortex-A53,Baseline,prepack,0.84
right,Cortex-A53,Baseline,babel,0.82
right,Cortex-A53,Baseline,esprima,0.81
right,Cortex-A53,Baseline,lebab,0.94
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,30604
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,165882
right,Cortex-A53,Baseline,uglify-js,0.56
right,Cortex-A53,Baseline,acorn,0.88
right,Cortex-A53,Baseline,babel-minify,1.11
right,Cortex-A53,Baseline,postcss,0.6
right,Cortex-A53,Baseline,source-map,0.95
right,Cortex-A53,Patch,coffeescript,0.79
right,Cortex-A53,Patch,jshint,1.01
right,Cortex-A53,Patch,mean,0.88
right,Cortex-A53,Patch,babylon,1.01
right,Cortex-A53,Patch,espree,0.54
right,Cortex-A53,Patch,typescript,1.05
right,Cortex-A53,Patch,buble,0.57
right,Cortex-A53,Patch,terser,1.83
right,Cortex-A53,Patch,prettier,0.82
right,Cortex-A53,Patch,chai,1.43
right,Cortex-A53,Patch,prepack,0.86
right,Cortex-A53,Patch,babel,0.84
right,Cortex-A53,Patch,esprima,0.83
right,Cortex-A53,Patch,lebab,0.94
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,28904
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,167156
right,Cortex-A53,Patch,uglify-js,0.55
right,Cortex-A53,Patch,acorn,0.88
right,Cortex-A53,Patch,babel-minify,1.1
right,Cortex-A53,Patch,postcss,0.62
