Column,Set,Benchmark,Result
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-loadtime,5854
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-throughput,23364
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-loadtime,16779
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-throughput,37103
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,3927
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,25659
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-loadtime,3224
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-throughput,15830
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-loadtime,5410
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-throughput,23304
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-loadtime,16777
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-throughput,37071
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,3930
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,25579
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-loadtime,3230
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-throughput,15833
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-loadtime,5422
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-throughput,23357
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-loadtime,16783
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-throughput,37019
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,3933
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,25577
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-loadtime,3227
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-throughput,15830
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-loadtime,5410
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-throughput,23316
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-loadtime,16782
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-throughput,37051
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,3928
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,25573
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-loadtime,3231
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-throughput,15842
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-loadtime,5403
Cortex-A53,"r30356 (baseline)",asmjs-apps-box2d-throughput,23322
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-loadtime,16782
Cortex-A53,"r30356 (baseline)",asmjs-apps-bullet-throughput,37528
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,3901
Cortex-A53,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,25843
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-loadtime,3225
Cortex-A53,"r30356 (baseline)",asmjs-apps-zlib-throughput,15813
Cortex-A53,"r30356 (baseline)",asmjs-ubench-copy,30558
Cortex-A53,"r30356 (baseline)",asmjs-ubench-corrections,31565
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fannkuch,27447
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fasta,79067
Cortex-A53,"r30356 (baseline)",asmjs-ubench-life,44288
Cortex-A53,"r30356 (baseline)",asmjs-ubench-memops,54893
Cortex-A53,"r30356 (baseline)",asmjs-ubench-primes,31998
Cortex-A53,"r30356 (baseline)",asmjs-ubench-skinning,171074
Cortex-A53,"r30356 (baseline)",asmjs-ubench-copy,30558
Cortex-A53,"r30356 (baseline)",asmjs-ubench-corrections,31566
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fannkuch,27462
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fasta,79065
Cortex-A53,"r30356 (baseline)",asmjs-ubench-life,44378
Cortex-A53,"r30356 (baseline)",asmjs-ubench-memops,54930
Cortex-A53,"r30356 (baseline)",asmjs-ubench-primes,31998
Cortex-A53,"r30356 (baseline)",asmjs-ubench-skinning,170964
Cortex-A53,"r30356 (baseline)",asmjs-ubench-copy,30558
Cortex-A53,"r30356 (baseline)",asmjs-ubench-corrections,31567
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fannkuch,27467
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fasta,79069
Cortex-A53,"r30356 (baseline)",asmjs-ubench-life,43892
Cortex-A53,"r30356 (baseline)",asmjs-ubench-memops,54912
Cortex-A53,"r30356 (baseline)",asmjs-ubench-primes,32002
Cortex-A53,"r30356 (baseline)",asmjs-ubench-skinning,170744
Cortex-A53,"r30356 (baseline)",asmjs-ubench-copy,30560
Cortex-A53,"r30356 (baseline)",asmjs-ubench-corrections,31567
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fannkuch,27463
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fasta,79084
Cortex-A53,"r30356 (baseline)",asmjs-ubench-life,44275
Cortex-A53,"r30356 (baseline)",asmjs-ubench-memops,54918
Cortex-A53,"r30356 (baseline)",asmjs-ubench-primes,31991
Cortex-A53,"r30356 (baseline)",asmjs-ubench-skinning,171022
Cortex-A53,"r30356 (baseline)",asmjs-ubench-copy,30736
Cortex-A53,"r30356 (baseline)",asmjs-ubench-corrections,31566
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fannkuch,27474
Cortex-A53,"r30356 (baseline)",asmjs-ubench-fasta,79083
Cortex-A53,"r30356 (baseline)",asmjs-ubench-life,44380
Cortex-A53,"r30356 (baseline)",asmjs-ubench-memops,54963
Cortex-A53,"r30356 (baseline)",asmjs-ubench-primes,31996
Cortex-A53,"r30356 (baseline)",asmjs-ubench-skinning,170989
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-bigfib,4210
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-container,26300
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-dry,4844
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-float-mm,8457
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-gcc-loops,36731
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-n-body,12400
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-quicksort,1981
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-towers,3890
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-bigfib,3938
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-container,26119
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-dry,5314
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-float-mm,8635
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-gcc-loops,39930
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-n-body,12575
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-quicksort,2157
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-towers,3712
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-bigfib,3935
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-container,26314
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-dry,5021
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-float-mm,8602
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-gcc-loops,36847
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-n-body,12402
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-quicksort,1981
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-towers,3891
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-bigfib,3932
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-container,26089
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-dry,5021
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-float-mm,8457
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-gcc-loops,36962
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-n-body,12412
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-quicksort,1981
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-towers,3891
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-bigfib,3937
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-container,26034
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-dry,5021
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-float-mm,8591
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-gcc-loops,36790
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-n-body,12402
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-quicksort,2111
Cortex-A53,"r30356 (baseline)",jetstream-asmjs-towers,3891
Cortex-A57,"r30356 (baseline)",asmjs-apps-box2d-loadtime,2679
Cortex-A57,"r30356 (baseline)",asmjs-apps-box2d-throughput,10408
Cortex-A57,"r30356 (baseline)",asmjs-apps-bullet-loadtime,7043
Cortex-A57,"r30356 (baseline)",asmjs-apps-bullet-throughput,15936
Cortex-A57,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,1831
Cortex-A57,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,9244
Cortex-A57,"r30356 (baseline)",asmjs-apps-zlib-loadtime,1646
Cortex-A57,"r30356 (baseline)",asmjs-apps-zlib-throughput,7628
Cortex-A57,"r30356 (baseline)",asmjs-apps-box2d-loadtime,2683
Cortex-A57,"r30356 (baseline)",asmjs-apps-box2d-throughput,10137
Cortex-A57,"r30356 (baseline)",asmjs-apps-bullet-loadtime,7039
Cortex-A57,"r30356 (baseline)",asmjs-apps-bullet-throughput,15719
Cortex-A57,"r30356 (baseline)",asmjs-apps-lua_binarytrees-loadtime,1825
Cortex-A57,"r30356 (baseline)",asmjs-apps-lua_binarytrees-throughput,9205
Cortex-A57,"r30356 (baseline)",asmjs-apps-zlib-loadtime,1649
Cortex-A57,"r30356 (baseline)",asmjs-apps-zlib-throughput,7615
